0
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-399422.464555,-344063.832715,-273171.972307,-215926.941812,-169143.672506,-137297.469468,-116625.175077,-93393.8337713,-74472.2215932,-58428.8111417,-46143.6353594,-37260.5008745,-31263.075494,-24279.0808457,-18839.8772858,-14850.8232319,-11809.2198082,-9840.44910412,-8358.53134655,-7095.73529486,-6347.24445655,-5798.13826513,-5080.46112781,-4562.96036444,-4308.66289545,-3967.63511252,-3687.53709145,-3420.14079336,-3242.28213418,-3163.80476261,-2997.59149843,-2919.67252091,-2860.96455644,-2857.99382497,-2822.83174042,-2795.97828977,-2722.97091106,-2777.33463207,-2714.39000436,-2733.85830358,-2715.50810428,-2736.75068975,-2724.43724589,-2711.34180147,-2719.98198407,-2682.65304211,-2693.79499779,-2751.13254348,-2694.41305599,-2653.68902109,-2681.83835456,-2723.31229639,-2683.97342717,-2734.44051179,-2681.47274939,-2691.46270898,-2710.15108707,-2806.01200989,-2693.79165662,-2680.18035351,-2642.6756516,-2664.14347525,-2631.97138776,-2526.01812451,-2439.20343154,-2136.00483452,-1861.48302983,-1642.8839414,-1526.87810162,-1489.13349385,-1394.56238091,-1353.99818297,-1282.87271149,-1251.87700758,-1210.69980648,-1195.15271621,-1186.7076221,-1225.84229258,-1173.2307992,-1173.9216303,-1165.01918043,-1185.46624162,-1151.44265748,-1219.28531713,-1170.51756499,-1169.1624995,-1133.17079897,-1186.09342274,-1166.81662144,-1153.25898098,-1214.87850557,-1173.11470666,-1189.15999797,-1164.84768279,-1136.57032163,-1197.83726022,-1160.63180622,-1136.6916188,-1136.66117342,-1131.77787785
-142818.773615,-135640.691174,-89840.9610056,-71512.5265671,-69013.1884475,-54550.2421344,-48491.0293462,-42007.2260609,-22393.0280368,-28837.0854756,-19993.8367491,-13079.8111853,-12906.7727905,-8955.61552098,-7712.41963075,-7083.74858989,-6289.08509537,-5210.75057176,-4819.07209018,-4704.36819188,-4073.46555907,-3932.827375,-3404.45926313,-3367.80732662,-3026.77029747,-2946.1846136,-2741.20285452,-2665.80245761,-2651.73024987,-2626.63319996,-2619.93103357,-2594.46528122,-2492.62961544,-2492.62961544,-2567.86744685,-2456.93100452,-2456.93100452,-2426.41861093,-2508.91456652,-2473.93671334,-2473.93671334,-2473.93671334,-2473.93671334,-2487.98564631,-2501.02267674,-2487.09840702,-2484.94747819,-2508.87000277,-2402.30078504,-2402.30078504,-2402.30078504,-2443.85239963,-2428.31138981,-2503.69642048,-1930.83346665,-2485.94242521,-1784.99932308,-2480.77128558,-2480.77128558,-2480.77128558,-1450.79801411,-1450.79801411,-1436.79095221,-1436.79095221,-1348.52115886,-1313.60574986,-1290.41395609,-1223.96751849,-1124.06848488,-1133.28428103,-1134.9429894,-1071.44640101,-1065.18921118,-1046.9944797,-1046.9944797,-1046.9944797,-1004.04625279,-1071.33573202,-1058.15246993,-1065.63886509,-1053.15473424,-1046.61476245,-1046.61476245,-1046.61476245,-1038.04957989,-1038.04957989,-985.723612997,-1030.29396505,-1044.86775174,-1033.06145691,-1031.12744194,-1033.06145691,-1055.55142079,-1053.05901714,-1053.05901714,-1038.58357147,-1027.91532015,-1043.73757592,-1053.67845774,-1053.67845774
"
"
1
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-390635.219849,-328236.951728,-254234.516069,-199148.649431,-166849.352573,-130345.668986,-101378.533026,-76083.7127055,-58321.6202737,-45144.1486665,-35913.9412208,-29396.1888377,-24392.5532947,-18844.7003218,-15572.2341829,-12743.0718373,-9869.84779188,-7964.23614651,-6597.62150018,-5173.18347716,-4213.34992738,-3533.4739203,-2914.09140921,-2576.98103763,-2365.37717644,-2154.7974504,-2005.02511647,-1927.24141823,-1769.77476418,-1650.03397143,-1610.54608539,-1595.18150276,-1512.68476682,-1504.83833138,-1476.75236571,-1468.2697501,-1427.40486422,-1376.97180378,-1417.98623865,-1372.59123428,-1352.05928269,-1374.71784178,-1424.50929462,-1410.31260489,-1393.64643643,-1361.79731531,-1374.58858155,-1367.82768847,-1420.66115362,-1354.12570803,-1406.93810603,-1384.70731158,-1424.73968537,-1396.38615339,-1381.89328231,-1358.76974931,-1341.89197794,-1406.22655751,-1413.74478882,-1396.98468999,-1408.52598499,-1420.3484381,-1349.74334225,-1356.06558382,-1388.87006798,-1382.79017088,-1337.34091638,-1219.91365376,-1108.02233919,-1007.57925548,-894.002587852,-833.017877048,-752.984016592,-696.226556211,-691.644253832,-648.894067002,-615.034310049,-618.392544494,-614.414179388,-599.410357272,-613.163458195,-620.520947772,-613.35636034,-595.259045616,-614.81961061,-643.232692635,-611.332885535,-609.2756351,-615.830259727,-634.081049,-630.164518241,-616.595134859,-650.226895629,-616.781429217,-597.010538261,-652.619278,-613.550348977,-634.701651383,-611.883540855,-601.788977157
-168903.452618,-137303.60418,-104370.485018,-77571.5867692,-43400.26791,-43400.26791,-43628.7083947,-27117.8305101,-25042.5197396,-20687.3438916,-13170.4817164,-10782.2411918,-10120.8669562,-8241.50119552,-7137.19257639,-6264.79689912,-3706.14688467,-3370.93045402,-2654.94365023,-2258.36329853,-2094.48929723,-2097.83339682,-1717.41652535,-1649.04837013,-1624.29252545,-1514.57391751,-1489.63571392,-1283.47712361,-1430.02105318,-1356.94672413,-1332.32404524,-1315.47716947,-1283.89570614,-1298.80725992,-1295.46912628,-1263.75554981,-1265.59642659,-1265.59642659,-1252.10644347,-1235.25878432,-1235.25878432,-1252.26872247,-1261.73997139,-1261.73997139,-1241.82158082,-1241.82158082,-1211.53607904,-1236.28485737,-1253.31424775,-1209.91327021,-1209.91327021,-1226.30116232,-1230.95708125,-1230.95708125,-1230.95708125,-1218.43263441,-1232.0206628,-1255.27792871,-1257.8746207,-1250.30072521,-1238.76795853,-1238.76795853,-1238.76795853,-1241.89926912,-870.298489738,-870.298489738,-723.120586062,-743.084654226,-635.677225751,-629.341004882,-620.297534714,-581.833292584,-580.469261711,-576.163081959,-554.866233431,-558.250372463,-553.68620733,-553.628904189,-550.84327596,-550.84327596,-551.496569157,-548.617168864,-549.190744788,-549.190744788,-549.190744788,-540.611236369,-540.611236369,-540.611236369,-540.611236369,-549.666095999,-549.666095999,-549.666095999,-539.17442831,-539.17442831,-539.17442831,-545.81372586,-548.539957897,-551.170489041,-551.170489041,-537.09912562
"
"
2
