0
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-393129.112811,-386782.273798,-314296.580832,-264131.649757,-222007.938531,-187552.585443,-160652.294095,-138174.007193,-116681.155229,-99885.5426789,-86549.0179166,-74048.3513542,-63478.4679911,-53321.9338754,-44649.4277121,-37747.5422731,-32170.7167953,-27770.3394286,-23353.1429878,-20133.8636132,-16469.435405,-14054.274444,-11756.8912008,-10052.1358585,-8894.57241509,-7819.88479526,-6561.91803891,-5789.59465296,-4835.80084279,-4246.17592842,-3764.13948468,-3475.40523737,-3091.08045538,-2849.05193586,-2619.72190091,-2515.98495003,-2323.46687429,-2101.02550082,-1970.93401227,-1821.97244683,-1701.62089397,-1566.07305442,-1453.32132134,-1332.04071731,-1261.58313522,-1167.60240979,-1127.194568,-1049.14841742,-974.7440902,-949.846765564,-935.919960502,-921.165507227,-900.540969362,-871.363847844,-835.101688563,-842.459288979,-779.758364562,-785.91712597,-784.02966927,-801.131866672,-786.085504491,-785.921063399,-804.153255566,-775.504324381,-749.525283004,-764.731932053,-761.224452706,-761.618636233,-739.686831856,-710.132473856,-712.131712653,-632.706489896,-599.61769049,-562.978567225,-552.55937698,-541.242835662,-505.4597446,-541.917367374,-502.497779483,-508.982647329,-463.556441496,-481.30675415,-479.34100009,-490.319965187,-504.688731172,-438.220733966,-503.36983686,-477.42802994,-473.523925674,-461.440370474,-458.868422851,-474.048472282,-433.590403011,-440.122018161,-422.202067299,-414.464323571,-437.323870569,-380.492447178,-444.694613645,-413.423801486
-138056.426805,-138056.426805,-138056.426805,-123125.83697,-68981.9106115,-67677.5562262,-63801.2006604,-63801.2006604,-63445.6972316,-38947.7818638,-38947.7818638,-26644.6308235,-19954.8098422,-19954.8098422,-17247.9272611,-17247.9272611,-12566.4694716,-12566.4694716,-10257.0800378,-9530.05168005,-7905.17383897,-5955.22226665,-5725.1096377,-4953.20182397,-4805.83890574,-2960.84179705,-2915.83450931,-2474.62401747,-2474.62401747,-2288.09060007,-2110.54413581,-2110.54413581,-1517.66342909,-1517.66342909,-1517.66342909,-1517.66342909,-1101.27021178,-1101.27021178,-1101.27021178,-1101.27021178,-1101.27021178,-1040.94737004,-975.023733825,-975.023733825,-912.444554325,-893.076343377,-817.557212677,-807.911333641,-802.835508166,-768.456142456,-756.84097693,-740.033491214,-734.638002592,-718.697368579,-708.014845387,-691.257682636,-691.257682636,-691.257682636,-691.257682636,-691.257682636,-665.336097209,-665.336097209,-663.224296421,-663.224296421,-557.367669911,-557.367669911,-515.841533042,-504.505648685,-504.505648685,-481.696953917,-448.653582896,-445.465071358,-445.465071358,-443.74834293,-441.983386949,-441.195034764,-416.165329954,-416.165329954,-416.165329954,-395.395204198,-395.395204198,-395.395204198,-395.395204198,-371.710791703,-371.710791703,-371.710791703,-371.710791703,-371.710791703,-370.419694194,-370.419694194,-367.862707852,-367.862707852,-361.778076266,-357.108149548,-354.036972306,-354.036972306,-354.036972306,-351.32003503,-351.32003503,-351.32003503
"
"
1
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-392332.354842,-394338.815886,-316413.470668,-263648.901008,-229074.84645,-187829.434591,-158042.739975,-131223.424982,-111767.799825,-94963.770196,-83218.8922502,-72627.9815008,-60654.9106411,-53145.0221058,-45462.7904504,-37736.1717727,-32994.366512,-28244.8379677,-25392.4435836,-21678.180778,-19206.4452017,-17322.5085938,-15312.3731378,-13431.2165421,-12152.3416724,-10770.3388246,-9656.10431654,-8451.81708156,-7445.47150333,-6453.94339408,-5511.19785575,-4822.23305154,-4451.05716938,-3989.99782805,-3490.67235627,-3109.69326224,-2799.51086262,-2525.8990073,-2237.4258424,-2034.63907818,-1818.05636447,-1658.38470135,-1465.851663,-1318.75211322,-1185.56509069,-1043.28140188,-913.236873014,-883.893201208,-779.502962402,-693.716472928,-661.585381248,-607.859711572,-602.348150689,-535.368716129,-534.788119776,-477.736625749,-430.872402389,-430.880796574,-426.299795432,-409.911151058,-414.802136113,-356.029732754,-358.602907749,-369.893433151,-341.28188011,-339.701985739,-362.297033479,-336.210456279,-319.572036835,-336.148987574,-369.385470695,-379.73224492,-340.500016258,-324.862697112,-335.803161922,-359.881545372,-399.484112686,-341.109446448,-382.372635986,-335.937476024,-343.530580555,-357.587896489,-326.344463308,-349.148860095,-322.923172992,-343.917468003,-327.564895391,-339.622532281,-304.603972701,-348.528004336,-325.991094855,-323.480157743,-351.152098887,-386.939737148,-340.131481925,-314.976562015,-335.04492756,-338.866877854,-313.945313802,-324.123848044
-186134.025721,-162212.219141,-145784.727305,-117468.802046,-75056.0159621,-74233.689674,-74116.8034653,-71130.9351749,-58318.1215082,-50187.8481672,-31698.041692,-30119.1942021,-26635.6022514,-22357.4589249,-13433.6470658,-13433.6470658,-13433.6470658,-11305.0967864,-11305.0967864,-11305.0967864,-10780.5417988,-10780.5417988,-8150.05851783,-6261.12553116,-6261.12553116,-5428.77980545,-5428.77980545,-4091.82586635,-3340.99844318,-3340.99844318,-2975.0844328,-2193.33609592,-2193.33609592,-2193.33609592,-1711.39802855,-1665.0692793,-1419.90613418,-1324.76584613,-1306.083364,-1110.77169555,-978.580799542,-902.829645471,-813.258597599,-649.410883955,-616.696464135,-579.17185143,-545.652139312,-545.652139312,-487.626122766,-414.534985757,-372.214905029,-372.214905029,-372.214905029,-372.214905029,-348.324781505,-348.324781505,-345.352379583,-327.807656027,-327.807656027,-316.933540711,-308.131388146,-305.488564637,-305.488564637,-305.220225962,-303.532503625,-299.494121881,-298.221920316,-290.012255629,-290.012255629,-290.012255629,-290.012255629,-290.012255629,-290.012255629,-290.012255629,-290.012255629,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-281.775638721,-283.585590818,-283.585590818,-283.585590818,-283.585590818,-283.585590818
"
"
2
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-379671.368531,-383579.923465,-311512.146762,-259081.058709,-217037.231437,-184367.566133,-161431.512654,-136601.749331,-117763.329958,-98632.0869964,-83659.8673608,-70888.7204405,-60447.0368183,-48190.5081459,-40743.2771931,-33141.4068855,-27268.8661715,-22581.4548092,-17820.9190485,-14651.3699781,-12031.5634488,-10468.1277661,-9021.53151964,-8166.05546227,-7216.26522714,-6504.20448121,-5751.51043241,-5209.28074921,-4729.32941816,-4215.87757739,-3919.78920983,-3533.01511942,-3254.51562042,-2992.57709168,-2642.79194293,-2393.3424144,-2112.49917629,-1942.42682497,-1692.73727669,-1563.22820993,-1441.18172491,-1343.21074475,-1252.34705811,-1172.70888982,-1093.42921034,-1056.78068768,-997.533800631,-963.877121596,-899.868414429,-839.196597271,-909.1332246,-836.906075317,-786.145541341,-789.513747511,-787.369578795,-779.330432391,-759.090270675,-759.879994771,-744.019248943,-728.407253268,-739.018177686,-765.819536528,-763.416071091,-720.670218815,-728.319605724,-727.653183072,-687.636498514,-714.028258973,-682.591342051,-732.702507949,-708.373917395,-743.290763889,-715.738504506,-706.669779175,-681.647054946,-685.102380206,-719.526886153,-718.148480242,-684.284910396,-704.099897969,-733.992423907,-693.374333598,-711.986031075,-715.824606713,-714.26461997,-690.897911562,-727.02526675,-704.161849883,-706.472933276,-723.699310253,-723.799495036,-727.047896203,-744.287198569,-692.694657969,-685.674897175,-679.852835742,-708.858712847,-717.100087538,-727.673918503,-723.340696568
-123132.195602,-123132.195602,-123132.195602,-123132.195602,-80319.5806926,-80319.5806926,-75659.9541868,-59033.8414518,-49776.5189081,-45711.1614543,-34153.9824405,-30449.5325262,-26429.4689332,-19996.7105314,-13375.5000682,-13375.5000682,-8858.38922756,-8772.79092131,-7396.42716764,-5939.94115426,-4872.6961402,-4872.6961402,-4872.6961402,-3714.61528487,-3483.97375738,-3184.117455,-3097.74236146,-3097.74236146,-2931.62782119,-2226.24720351,-1909.14707347,-1849.08704592,-1215.56533143,-1215.56533143,-996.984849026,-996.984849026,-996.984849026,-996.984849026,-996.984849026,-996.984849026,-996.984849026,-933.250494276,-872.33622239,-814.423023771,-719.198993449,-719.198993449,-719.198993449,-719.198993449,-694.889008188,-694.889008188,-694.889008188,-684.215250194,-684.215250194,-665.228951124,-665.228951124,-665.228951124,-665.228951124,-665.228951124,-664.734312364,-656.755304659,-656.755304659,-656.755304659,-656.755304659,-641.927660232,-641.927660232,-641.320068069,-641.320068069,-641.320068069,-638.798512962,-638.798512962,-638.798512962,-638.798512962,-638.798512962,-638.798512962,-639.965170688,-638.437135014,-635.517980981,-635.517980981,-635.517980981,-635.517980981,-635.517980981,-635.517980981,-635.517980981,-635.517980981,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865,-624.885526865
"
"
3
100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000,5100,5200,5300,5400,5500,5600,5700,5800,5900,6000,6100,6200,6300,6400,6500,6600,6700,6800,6900,7000,7100,7200,7300,7400,7500,7600,7700,7800,7900,8000,8100,8200,8300,8400,8500,8600,8700,8800,8900,9000,9100,9200,9300,9400,9500,9600,9700,9800,9900,10000
-401636.346446,-405609.374316,-325957.847794,-277212.667084,-234516.97598,-200024.315147,-166501.201903,-142046.163901,-118238.438992,-98724.1262014,-81563.6375571,-69495.7749992,-59952.904016,-50788.0309002,-41301.1105064,-35370.9879058,-30710.2906741,-26048.7263242,-22871.1671338,-19544.6721314,-16093.0731678,-13790.7671171,-11742.122505,-9566.26983379,-7955.33403693,-7053.71638442,-5701.27240399,-4948.01050437,-4086.83530958,-3520.87958036,-3092.79635595,-2689.75730469,-2455.53601679,-2264.9910515,-2083.46671966,-2014.81648121,-1811.27205424,-1711.64271464,-1612.8162475,-1529.76571645,-1408.31537467,-1362.68070154,-1291.77027428,-1215.02503053,-1060.77367077,-978.278977372,-879.783582338,-834.522251714,-810.395299979,-781.148514382,-744.0348276,-759.30429064,-721.402370111,-686.44015595,-626.535234412,-631.397085995,-627.913612485,-581.122222283,-596.029764401,-611.973938064,-575.386889679,-564.908171529,-549.320202398,-538.468798832,-557.822106062,-552.358193919,-554.796799407,-489.740259036,-531.979892509,-499.129900219,-531.645503848,-497.366271029,-504.501364062,-494.949692495,-504.854213096,-548.243980189,-496.881759943,-508.442904741,-496.205992203,-494.781783448,-468.483632092,-468.55419826,-486.386378488,-517.385774395,-477.135349936,-484.898696085,-499.286448679,-514.542684381,-477.130081443,-484.09579601,-469.257660836,-517.2224954,-496.8671692,-497.134140291,-470.916368216,-495.546997064,-485.7945976,-467.015245986,-477.066373054,-483.242712636
